00000的原像为：['0000000', '0111111', '1000000', '1111111']
00001的原像为：['0000001', '0111110', '1000001', '1111110']
00010的原像为：['0000011', '0111100', '1000011', '1111100']
00011的原像为：['0000010', '0111101', '1000010', '1111101']
00100的原像为：['0000111', '0111000', '1000111', '1111000']
00101的原像为：['0000110', '0111001', '1000110', '1111001']
00110的原像为：['0000100', '0111011', '1000100', '1111011']
00111的原像为：['0000101', '0111010', '1000101', '1111010']
01000的原像为：['0001111', '0110000', '1001111', '1110000']
01001的原像为：['0001110', '0110001', '1001110', '1110001']
01010的原像为：['0001100', '0110011', '1001100', '1110011']
01011的原像为：['0001101', '0110010', '1001101', '1110010']
01100的原像为：['0001000', '0110111', '1001000', '1110111']
01101的原像为：['0001001', '0110110', '1001001', '1110110']
01110的原像为：['0001011', '0110100', '1001011', '1110100']
01111的原像为：['0001010', '0110101', '1001010', '1110101']
10000的原像为：['0011111', '0100000', '1011111', '1100000']
10001的原像为：['0011110', '0100001', '1011110', '1100001']
10010的原像为：['0011100', '0100011', '1011100', '1100011']
10011的原像为：['0011101', '0100010', '1011101', '1100010']
10100的原像为：['0011000', '0100111', '1011000', '1100111']
10101的原像为：['0011001', '0100110', '1011001', '1100110']
10110的原像为：['0011011', '0100100', '1011011', '1100100']
10111的原像为：['0011010', '0100101', '1011010', '1100101']
11000的原像为：['0010000', '0101111', '1010000', '1101111']
11001的原像为：['0010001', '0101110', '1010001', '1101110']
11010的原像为：['0010011', '0101100', '1010011', '1101100']
11011的原像为：['0010010', '0101101', '1010010', '1101101']
11100的原像为：['0010111', '0101000', '1010111', '1101000']
11101的原像为：['0010110', '0101001', '1010110', '1101001']
11110的原像为：['0010100', '0101011', '1010100', '1101011']
11111的原像为：['0010101', '0101010', '1010101', '1101010']
