000000的原像为：['00000000', '01111111', '10000000', '11111111']
000001的原像为：['00000001', '01111110', '10000001', '11111110']
000010的原像为：['00000011', '01111100', '10000011', '11111100']
000011的原像为：['00000010', '01111101', '10000010', '11111101']
000100的原像为：['00000111', '01111000', '10000111', '11111000']
000101的原像为：['00000110', '01111001', '10000110', '11111001']
000110的原像为：['00000100', '01111011', '10000100', '11111011']
000111的原像为：['00000101', '01111010', '10000101', '11111010']
001000的原像为：['00001111', '01110000', '10001111', '11110000']
001001的原像为：['00001110', '01110001', '10001110', '11110001']
001010的原像为：['00001100', '01110011', '10001100', '11110011']
001011的原像为：['00001101', '01110010', '10001101', '11110010']
001100的原像为：['00001000', '01110111', '10001000', '11110111']
001101的原像为：['00001001', '01110110', '10001001', '11110110']
001110的原像为：['00001011', '01110100', '10001011', '11110100']
001111的原像为：['00001010', '01110101', '10001010', '11110101']
010000的原像为：['00011111', '01100000', '10011111', '11100000']
010001的原像为：['00011110', '01100001', '10011110', '11100001']
010010的原像为：['00011100', '01100011', '10011100', '11100011']
010011的原像为：['00011101', '01100010', '10011101', '11100010']
010100的原像为：['00011000', '01100111', '10011000', '11100111']
010101的原像为：['00011001', '01100110', '10011001', '11100110']
010110的原像为：['00011011', '01100100', '10011011', '11100100']
010111的原像为：['00011010', '01100101', '10011010', '11100101']
011000的原像为：['00010000', '01101111', '10010000', '11101111']
011001的原像为：['00010001', '01101110', '10010001', '11101110']
011010的原像为：['00010011', '01101100', '10010011', '11101100']
011011的原像为：['00010010', '01101101', '10010010', '11101101']
011100的原像为：['00010111', '01101000', '10010111', '11101000']
011101的原像为：['00010110', '01101001', '10010110', '11101001']
011110的原像为：['00010100', '01101011', '10010100', '11101011']
011111的原像为：['00010101', '01101010', '10010101', '11101010']
100000的原像为：['00111111', '01000000', '10111111', '11000000']
100001的原像为：['00111110', '01000001', '10111110', '11000001']
100010的原像为：['00111100', '01000011', '10111100', '11000011']
100011的原像为：['00111101', '01000010', '10111101', '11000010']
100100的原像为：['00111000', '01000111', '10111000', '11000111']
100101的原像为：['00111001', '01000110', '10111001', '11000110']
100110的原像为：['00111011', '01000100', '10111011', '11000100']
100111的原像为：['00111010', '01000101', '10111010', '11000101']
101000的原像为：['00110000', '01001111', '10110000', '11001111']
101001的原像为：['00110001', '01001110', '10110001', '11001110']
101010的原像为：['00110011', '01001100', '10110011', '11001100']
101011的原像为：['00110010', '01001101', '10110010', '11001101']
101100的原像为：['00110111', '01001000', '10110111', '11001000']
101101的原像为：['00110110', '01001001', '10110110', '11001001']
101110的原像为：['00110100', '01001011', '10110100', '11001011']
101111的原像为：['00110101', '01001010', '10110101', '11001010']
110000的原像为：['00100000', '01011111', '10100000', '11011111']
110001的原像为：['00100001', '01011110', '10100001', '11011110']
110010的原像为：['00100011', '01011100', '10100011', '11011100']
110011的原像为：['00100010', '01011101', '10100010', '11011101']
110100的原像为：['00100111', '01011000', '10100111', '11011000']
110101的原像为：['00100110', '01011001', '10100110', '11011001']
110110的原像为：['00100100', '01011011', '10100100', '11011011']
110111的原像为：['00100101', '01011010', '10100101', '11011010']
111000的原像为：['00101111', '01010000', '10101111', '11010000']
111001的原像为：['00101110', '01010001', '10101110', '11010001']
111010的原像为：['00101100', '01010011', '10101100', '11010011']
111011的原像为：['00101101', '01010010', '10101101', '11010010']
111100的原像为：['00101000', '01010111', '10101000', '11010111']
111101的原像为：['00101001', '01010110', '10101001', '11010110']
111110的原像为：['00101011', '01010100', '10101011', '11010100']
111111的原像为：['00101010', '01010101', '10101010', '11010101']
